Store,Image,Name,Item Details,Price,Deal
REWE Supermarkt,https://img.rewe-static.de/REWE_TZ16_2023/8654202/34137633-8_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,Valensina Saft,"versch. Sorten, aus Fruchtsaft- konzentrat, je 1-l-Fl, zzgl. 0.25 Pfand","1,11 €",None
REWE Supermarkt,https://img.rewe-static.de/REWE_TZ16_2023/0878564/26347635-39_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,Wagner Die Backfrische Mozzarella,"tiefgefroren, je 350-g-Pckg, (1 kg = 5.69)","1,99 €",Even cheaper with App Coupon
REWE Supermarkt,https://img.rewe-static.de/REWE_TZ16_2023/2670547/29010095-23_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,Wagner Big City Pizza Budapest,"tiefgefroren, je 400-g-Pckg, (1 kg = 4.98)","1,99 €",Even cheaper with App Coupon
REWE Supermarkt,https://img.rewe-static.de/REWE16_2023/9268235/2032730-34_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,"Berliner Kindl Jubiläumspilsener, Grapefruit, Radler naturtrüb oder alkoholfrei","je 20 x 0,5-l-Fl.-Kasten, (1 l = 0.95), zzgl. 3.10 Pfand","9,49 €",None
REWE Supermarkt,https://img.rewe-static.de/REWE16_2023/2559102/1499960-13_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,Bauer Joghurt mild,"versch. Sorten, je 250-g-Becher, (1 kg = 2.20)","0,55 €",Even cheaper with App Coupon
REWE Supermarkt,https://img.rewe-static.de/REWE16_2023/4763068/693640-82_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,Kinder Riegel,"je 10 x 21-g-Pckg, (1 kg = 7.10)","1,49 €",None
REWE Supermarkt,https://img.rewe-static.de/REWE16_2023/1028377/32416351-2_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,Bananen,je 1 kg,"1,79 €",None
REWE Supermarkt,https://img.rewe-static.de/REWE16_2023/7953842/33066527-3_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,Spargel-Frühkartoffeln,"Sorte: siehe Etikett, Kocheigenschaft: festkochend, Qualität I, je 1,5-kg-Btl, (1 kg = 1.19)","1,79 €",None
REWE Supermarkt,https://img.rewe-static.de/REWE16_2023/2345396/23879240-16_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,Schweine-Rückensteaks,"in versch. Marinaden, Haltungsform 2, je 300-g-Pckg, (1 kg = 9.97)","2,99 €",None
REWE Supermarkt,https://img.rewe-static.de/REWE16_2023/8511727/34526427-10_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,Frische Hähnchen-Grillplatte,"mit Paprikawürzung, Haltungsform 2, je 800-g-Pckg, (1 kg = 5.55)","4,44 €",None
