TEAM_MEMBER,STORE_ID,STORE_NAME,STORE_ADDRESS,STORE_NAME_ADDRESS,STORE_RATING,STORE_NUMBER_RATINGS,STORE_TYPE,STORE_PHONE,STORE_SERVICES
Michael Johnson,,REWE Supermarkt,Rheinstr. 30  12161 Berlin / Friedenau,REWE Supermarkt Rheinstr. 30  12161 Berlin / Friedenau,,,,030-85074370,In-store shopping
Michael Johnson,,REWE Supermarkt,Lausanner Str. 82 / Goerzallee  12205 Berlin / Lichterfelde,REWE Supermarkt Lausanner Str. 82 / Goerzallee  12205 Berlin / Lichterfelde,,,,030-83202917,"In-store shopping, Abholservice"
Michael Johnson,,REWE Supermarkt,Sophie-Charlotten-Str. 41  14059 Berlin / Charlottenburg,REWE Supermarkt Sophie-Charlotten-Str. 41  14059 Berlin / Charlottenburg,,,,030-30207371,"In-store shopping, Abholservice"
Michael Johnson,,REWE Supermarkt,Europaplatz 1  10557 Berlin / Mitte,REWE Supermarkt Europaplatz 1  10557 Berlin / Mitte,,,,030-20453002,In-store shopping
Michael Johnson,,REWE Supermarkt,Oberfeldstr. 138  12683 Berlin / Biesdorf,REWE Supermarkt Oberfeldstr. 138  12683 Berlin / Biesdorf,,,,030-53029550,In-store shopping
Michael Johnson,,REWE Supermarkt,Angerburger Allee 45  14055 Berlin / Westend,REWE Supermarkt Angerburger Allee 45  14055 Berlin / Westend,,,,030-30007792,In-store shopping
Michael Johnson,,REWE Supermarkt,Heerstr. 560  13591 Berlin / Staaken,REWE Supermarkt Heerstr. 560  13591 Berlin / Staaken,,,,030-36404326,"In-store shopping, Abholservice"
Michael Johnson,,REWE Supermarkt,Eschengraben 47  13189 Berlin / Pankow,REWE Supermarkt Eschengraben 47  13189 Berlin / Pankow,,,,030-43723140,In-store shopping
Michael Johnson,,REWE Supermarkt,Turmstr. 48  10551 Berlin / Moabit,REWE Supermarkt Turmstr. 48  10551 Berlin / Moabit,,,,030-39731393,In-store shopping
Michael Johnson,,REWE Supermarkt,Alt-Kaulsdorf 64  12621 Berlin / Kaulsdorf,REWE Supermarkt Alt-Kaulsdorf 64  12621 Berlin / Kaulsdorf,,,,030-56594505,In-store shopping
Michael Johnson,,REWE Supermarkt,Uhlandstr. 30  10719 Berlin / Charlottenburg,REWE Supermarkt Uhlandstr. 30  10719 Berlin / Charlottenburg,,,,030-398218540,In-store shopping
Michael Johnson,,REWE Supermarkt,Havemannstr. 12A  12689 Berlin / Marzahn,REWE Supermarkt Havemannstr. 12A  12689 Berlin / Marzahn,,,,030-93770122,"In-store shopping, Abholservice"
Michael Johnson,,REWE Supermarkt,Lankwitzer Str. 19-24  12209 Berlin / Lichterfelde,REWE Supermarkt Lankwitzer Str. 19-24  12209 Berlin / Lichterfelde,,,,030-70177200,In-store shopping
Michael Johnson,,REWE Supermarkt,Rauchstr. 56  13587 Berlin / Spandau,REWE Supermarkt Rauchstr. 56  13587 Berlin / Spandau,,,,030-33308114,In-store shopping
Michael Johnson,,REWE Supermarkt,Ackerstr. 23-26/Invalidenstr. 158  10115 Berlin / Mitte,REWE Supermarkt Ackerstr. 23-26/Invalidenstr. 158  10115 Berlin / Mitte,,,,030-28390336,In-store shopping
Michael Johnson,,REWE Supermarkt,Heidestr. 41  10557 Berlin / Mitte,REWE Supermarkt Heidestr. 41  10557 Berlin / Mitte,,,,030-208474630,"In-store shopping, Abholservice"
Michael Johnson,,REWE Supermarkt,Weitlingstr. 59-60  10317 Berlin / Lichtenberg,REWE Supermarkt Weitlingstr. 59-60  10317 Berlin / Lichtenberg,,,,030-52279324,In-store shopping
Michael Johnson,,REWE Supermarkt,Chausseestr. 118-120  10115 Berlin / Mitte,REWE Supermarkt Chausseestr. 118-120  10115 Berlin / Mitte,,,,030-23455691,In-store shopping
Michael Johnson,,REWE Supermarkt,Heinsestr. 46-48  13467 Berlin / Hermsdorf,REWE Supermarkt Heinsestr. 46-48  13467 Berlin / Hermsdorf,,,,030-40537200,In-store shopping
Michael Johnson,,REWE Supermarkt,Revaler Str. 2  10243 Berlin / Friedrichshain,REWE Supermarkt Revaler Str. 2  10243 Berlin / Friedrichshain,,,,030-29669000,In-store shopping
Michael Johnson,,REWE Supermarkt,Clayallee 336  14169 Berlin / Zehlendorf,REWE Supermarkt Clayallee 336  14169 Berlin / Zehlendorf,,,,030-81295890,"In-store shopping, Abholservice"
Michael Johnson,,REWE Supermarkt,Marzahner Promenade 1  12679 Berlin / Marzahn,REWE Supermarkt Marzahner Promenade 1  12679 Berlin / Marzahn,,,,030-93491258,In-store shopping
Michael Johnson,,REWE Supermarkt,Helene-Weigel-Platz 1 2  12681 Berlin / Marzahn,REWE Supermarkt Helene-Weigel-Platz 1 2  12681 Berlin / Marzahn,,,,030-50016185,In-store shopping
Michael Johnson,,REWE Supermarkt,Eichenauer Weg 61  12355 Berlin / Rudow,REWE Supermarkt Eichenauer Weg 61  12355 Berlin / Rudow,,,,030-60970124,In-store shopping
Michael Johnson,,REWE Supermarkt,Konstanzer Str. 53  10707 Berlin / Wilmersdorf,REWE Supermarkt Konstanzer Str. 53  10707 Berlin / Wilmersdorf,,,,030-88625895,In-store shopping
Michael Johnson,,REWE Supermarkt,Alfred-Kowalke-Str. 2  10315 Berlin / Friedrichsfelde,REWE Supermarkt Alfred-Kowalke-Str. 2  10315 Berlin / Friedrichsfelde,,,,030-51062792,In-store shopping
Michael Johnson,,REWE Supermarkt,Am Ostbahnhof 9  10243 Berlin / Friedrichshain,REWE Supermarkt Am Ostbahnhof 9  10243 Berlin / Friedrichshain,,,,030-29365952,In-store shopping
Michael Johnson,,REWE Supermarkt,Hubertusdamm 53-59  13125 Berlin / Karow,REWE Supermarkt Hubertusdamm 53-59  13125 Berlin / Karow,,,,030-94393679,In-store shopping
Michael Johnson,,REWE Supermarkt,Pichelsdorfer Str. 110  13595 Berlin / Wilhelmstadt,REWE Supermarkt Pichelsdorfer Str. 110  13595 Berlin / Wilhelmstadt,,,,030-33290093,In-store shopping
Michael Johnson,,REWE Supermarkt,Mehrower Allee 20  12687 Berlin / Marzahn,REWE Supermarkt Mehrower Allee 20  12687 Berlin / Marzahn,,,,030-93523294,In-store shopping
Michael Johnson,,REWE Supermarkt,Pichelsdorfer Str. 110  13595 Berlin / Wilhelmstadt,REWE Supermarkt Pichelsdorfer Str. 110  13595 Berlin / Wilhelmstadt,,,,030-33290093,In-store shopping
Michael Johnson,,REWE Supermarkt,Allee der Kosmonauten 196  12685 Berlin / Marzahn,REWE Supermarkt Allee der Kosmonauten 196  12685 Berlin / Marzahn,,,,030-21453653,In-store shopping
Michael Johnson,,REWE Supermarkt,Wrangelstr. 53  10997 Berlin / Kreuzberg,REWE Supermarkt Wrangelstr. 53  10997 Berlin / Kreuzberg,,,,030-61709080,In-store shopping
Michael Johnson,,REWE Supermarkt,Badstr. 57-58  13357 Berlin / Gesundbrunnen,REWE Supermarkt Badstr. 57-58  13357 Berlin / Gesundbrunnen,,,,030-46067706,In-store shopping
Michael Johnson,,REWE Supermarkt,Bismarckstr. 68-69  12157 Berlin / Steglitz,REWE Supermarkt Bismarckstr. 68-69  12157 Berlin / Steglitz,,,,030-79785494,In-store shopping
Michael Johnson,,REWE Supermarkt,Walther-Schreiber-Platz 1  12161 Berlin / Friedenau,REWE Supermarkt Walther-Schreiber-Platz 1  12161 Berlin / Friedenau,,,,030-81486745,"In-store shopping, Abholservice"
Michael Johnson,,REWE Supermarkt,Wollankstr. 16  13187 Berlin / Pankow,REWE Supermarkt Wollankstr. 16  13187 Berlin / Pankow,,,,030-40047023,In-store shopping
Michael Johnson,,REWE Supermarkt,Landsberger Allee 68 D  10249 Berlin / Friedrichshain,REWE Supermarkt Landsberger Allee 68 D  10249 Berlin / Friedrichshain,,,,030-42016551,In-store shopping
Michael Johnson,,REWE Supermarkt,Wollankstr. 16  13187 Berlin / Pankow,REWE Supermarkt Wollankstr. 16  13187 Berlin / Pankow,,,,030-40047023,In-store shopping
Michael Johnson,,REWE Center,Badstr. 4  13357 Berlin / Gesundbrunnen,REWE Center Badstr. 4  13357 Berlin / Gesundbrunnen,,,,030-49908964,"In-store shopping, Abholservice"
Michael Johnson,,REWE Supermarkt,Wundtstr. 26  14059 Berlin / Charlottenburg,REWE Supermarkt Wundtstr. 26  14059 Berlin / Charlottenburg,,,,030-32602467,In-store shopping
Michael Johnson,,REWE Supermarkt,Landsberger Allee 68 D  10249 Berlin / Friedrichshain,REWE Supermarkt Landsberger Allee 68 D  10249 Berlin / Friedrichshain,,,,030-42016551,In-store shopping
Michael Johnson,,REWE Supermarkt,Nonnendammallee 120  13629 Berlin / Siemensstadt,REWE Supermarkt Nonnendammallee 120  13629 Berlin / Siemensstadt,,,,030-34095404,In-store shopping
Michael Johnson,,REWE Supermarkt,Achillesstr. 46  13125 Berlin / Karow,REWE Supermarkt Achillesstr. 46  13125 Berlin / Karow,,,,030-94380727,In-store shopping
Michael Johnson,,REWE Supermarkt,Tamara-Danz-Str. 11  10243 Berlin / Friedrichshain,REWE Supermarkt Tamara-Danz-Str. 11  10243 Berlin / Friedrichshain,,,,030-29387186,"In-store shopping, Abholservice"
Michael Johnson,,REWE Supermarkt,Nonnendammallee 120  13629 Berlin / Siemensstadt,REWE Supermarkt Nonnendammallee 120  13629 Berlin / Siemensstadt,,,,030-34095404,In-store shopping
Michael Johnson,,REWE Supermarkt,Theodor-Heuss-Platz 6  14052 Berlin / Westend,REWE Supermarkt Theodor-Heuss-Platz 6  14052 Berlin / Westend,,,,030-30113147,In-store shopping
Michael Johnson,,REWE Supermarkt,Buckower Damm 50  12349 Berlin / Britz,REWE Supermarkt Buckower Damm 50  12349 Berlin / Britz,,,,030-62738601,"In-store shopping, Abholservice"
Michael Johnson,,REWE Supermarkt,Theodor-Heuss-Platz 6  14052 Berlin / Westend,REWE Supermarkt Theodor-Heuss-Platz 6  14052 Berlin / Westend,,,,030-30113147,In-store shopping
Michael Johnson,,REWE Supermarkt,Buckower Damm 50  12349 Berlin / Britz,REWE Supermarkt Buckower Damm 50  12349 Berlin / Britz,,,,030-62738601,"In-store shopping, Abholservice"
Michael Johnson,,REWE Supermarkt,Kaiserin-Augusta-Str. 55  12103 Berlin / Tempelhof,REWE Supermarkt Kaiserin-Augusta-Str. 55  12103 Berlin / Tempelhof,,,,030-75703910,In-store shopping
Michael Johnson,,REWE Supermarkt,Germaniastr. 12-13  12099 Berlin / Tempelhof,REWE Supermarkt Germaniastr. 12-13  12099 Berlin / Tempelhof,,,,030-75705090,In-store shopping
Michael Johnson,,REWE Supermarkt,Alfred-Jung-Str. 12  10369 Berlin / Lichtenberg,REWE Supermarkt Alfred-Jung-Str. 12  10369 Berlin / Lichtenberg,,,,030-959997610,In-store shopping
Michael Johnson,,REWE Supermarkt,Sterndamm 140  12487 Berlin / Johannisthal,REWE Supermarkt Sterndamm 140  12487 Berlin / Johannisthal,,,,030-63974070,"In-store shopping, Abholservice"
Michael Johnson,,REWE Supermarkt,Neue Grottkauer Str. 9  12619 Berlin / Kaulsdorf,REWE Supermarkt Neue Grottkauer Str. 9  12619 Berlin / Kaulsdorf,,,,030-467336430,"In-store shopping, Abholservice"
Michael Johnson,,REWE Supermarkt,Roedernallee 118 A  13437 Berlin / Wittenau,REWE Supermarkt Roedernallee 118 A  13437 Berlin / Wittenau,,,,030-41191304,In-store shopping
Michael Johnson,,REWE Supermarkt,Am Borsigturm 2  13507 Berlin / Tegel,REWE Supermarkt Am Borsigturm 2  13507 Berlin / Tegel,,,,030-43094664,In-store shopping
Michael Johnson,,REWE Supermarkt,Am Tierpark 68/Heinrich-Dathe-Platz  10319 Berlin / Friedrichsfelde,REWE Supermarkt Am Tierpark 68/Heinrich-Dathe-Platz  10319 Berlin / Friedrichsfelde,,,,030-51061509,"In-store shopping, Abholservice"
Michael Johnson,,REWE Supermarkt,Frankfurter Allee 144  10365 Berlin / Lichtenberg,REWE Supermarkt Frankfurter Allee 144  10365 Berlin / Lichtenberg,,,,030-50509491,In-store shopping
Michael Johnson,,REWE Supermarkt,Breisgauer Str. 1/3  14129 Berlin / Zehlendorf,REWE Supermarkt Breisgauer Str. 1/3  14129 Berlin / Zehlendorf,,,,030-36752083,In-store shopping
Michael Johnson,,REWE Supermarkt,Gorkistr. 11-21  13507 Berlin / Tegel,REWE Supermarkt Gorkistr. 11-21  13507 Berlin / Tegel,,,,030-403619790,In-store shopping
Michael Johnson,,REWE Supermarkt,Rosenthaler Weg 74  13127 Berlin / Buchholz,REWE Supermarkt Rosenthaler Weg 74  13127 Berlin / Buchholz,,,,030-40058610,In-store shopping
Michael Johnson,,REWE Supermarkt,Breisgauer Str. 1/3  14129 Berlin / Zehlendorf,REWE Supermarkt Breisgauer Str. 1/3  14129 Berlin / Zehlendorf,,,,030-36752083,In-store shopping
Michael Johnson,,REWE Supermarkt,Schivelbeiner Str. 38  10439 Berlin / Prenzlauer Berg,REWE Supermarkt Schivelbeiner Str. 38  10439 Berlin / Prenzlauer Berg,,,,030-44677270,In-store shopping
Michael Johnson,,REWE Supermarkt,Pasteurstr. 19  10407 Berlin / Prenzlauer Berg,REWE Supermarkt Pasteurstr. 19  10407 Berlin / Prenzlauer Berg,,,,030-80406790,In-store shopping
