,TEAM_MEMBER,STORE_ADDRESS,PRODUCT_IMAGE,PRODUCT_NAME,PRODUCT_INFO,PRODUCT_PRICE
0,Michael Johnson,Hanne-Sobek-Platz · In the Berlin-Gesundbrunnen station,https://cdn.sanity.io/images/or2m2oma/production/43fb17927d99a7d3f2ed8465208e8edd00e691b4-1114x742.png?w=300,Brokkoli,1 kg,"3,99"
1,Michael Johnson,Hanne-Sobek-Platz · In the Berlin-Gesundbrunnen station,https://cdn.sanity.io/images/or2m2oma/production/db2acb3918f7e826b6c949bc312ad610862d660c-1114x742.png?w=300,Erdbeeren,"500-g-Schale(1 kg = 5,98)","2,99"
2,Michael Johnson,Hanne-Sobek-Platz · In the Berlin-Gesundbrunnen station,https://cdn.sanity.io/images/or2m2oma/production/b7e974bfd9a843f5947bb805a2b70c2a1b1e6df4-1114x742.png?w=300,Grapefruit,je Stück,"1,29"
3,Michael Johnson,Hanne-Sobek-Platz · In the Berlin-Gesundbrunnen station,https://cdn.sanity.io/images/or2m2oma/production/17354c0fd79445310c1a87d33101f020fead359c-1114x742.png?w=300,Lauchzwiebeln,Bund,"1,99"
4,Michael Johnson,Hanne-Sobek-Platz · In the Berlin-Gesundbrunnen station,https://cdn.sanity.io/images/or2m2oma/production/11724df39955a1c9e25812bccd201e04f52b2f72-1114x742.png?w=300,Maracuja,"je 100 g (1 kg = 19,90)","1,99"
5,Michael Johnson,Hanne-Sobek-Platz · In the Berlin-Gesundbrunnen station,https://cdn.sanity.io/images/or2m2oma/production/ace87744f4eb583b88e770c65541b22819451b78-1114x742.png?w=300,Schlangengurke,Stück,"0,99"
6,Michael Johnson,Hanne-Sobek-Platz · In the Berlin-Gesundbrunnen station,https://cdn.sanity.io/images/or2m2oma/production/3991e23ad64d6164e456e8082ee1d4186c60fee9-1114x742.png?w=300,STADTGUT GÖRLITZ,Äpfel,"2,49"
7,Michael Johnson,Hanne-Sobek-Platz · In the Berlin-Gesundbrunnen station,https://cdn.sanity.io/images/or2m2oma/production/4ec3733748b2a160b199cae1bec5fc3f542a2cf7-1114x742.png?w=300,PUR,Frische Suppen,"2,79"
8,Michael Johnson,Hanne-Sobek-Platz · In the Berlin-Gesundbrunnen station,https://cdn.sanity.io/images/or2m2oma/production/6c0160cafe42e43d2a43db2f75933fc6de0f9ee4-1114x742.png?w=300,WEISSENHORNER MILCH MANUFAKTUR,Frischecreme,"1,69"
9,Michael Johnson,Hanne-Sobek-Platz · In the Berlin-Gesundbrunnen station,https://cdn.sanity.io/images/or2m2oma/production/4e9af0665890dd7018f84635cec36aa57c096008-1114x742.png?w=300,BIO-VERDE,Frisches Pesto oder Kräuter in Öl,"2,99"
10,Michael Johnson,Hanne-Sobek-Platz · In the Berlin-Gesundbrunnen station,https://images.dennree.de/fitinto/300x200/159759.top.png?backgroundColor=transparent,HOFGUT EICHIGT,Frischmilch,"1,49"
