,category,sub_category,product_item,product_name,product_price,product_per_kg/lr,shipping_cost,shipping_duration,date_time,prod_description,storage_information,manf_address,Ingredients,Calorif_val_kf,cal_val_kcal,fat,saturated_fat,carbohydrates,sugar_carbohydrates,protein,salt,product_url,product_image
0,Lebensmittel,Kaffee & Tee,Kaffee ganze Bohnen,Schweitzers Schüümli Mild & Sanft Bohnen 1KG,"16,99 €","16,99 €/kg","inkl. MwSt., zzgl. 4.95 € Versandkosten.",lieferbar innerhalb von 2-5 Werktagen,2023-05-02 22:50:19.726895,Röstkaffee in Bohnen,"Hinweis zur Aufbewahrung: Kühl, trocken und vor Licht geschützt lagern. Packung nach dem Öffnen wieder gut verschliessen. Zum raschen Verbrauch bestimmt.","Verantwortliches Lebensmittelunternehmen:
Swiss Industries GmbH, D-79576 Weil am Rhein.",Zutatenverzeichnis: Röstkaffee,,,,,,,,,https://www.edeka24.de/index.php?cl=details&anid=4l84cfe440f198ca2.84097628&emcs0=3&emcs1=Kategorieseite%20-%20Topseller&emcs2=&emcs3=831595009,https://www.edeka24.de/out/pictures/generated/product/1/540_540_90/schweitzschmlimildsanftbohne.jpg
1,Lebensmittel,Kaffee & Tee,Kaffee ganze Bohnen,Cellini Espresso Prestigio 100% Arabica Bohnen 1kg,"20,99 €","20,99 €/kg","inkl. MwSt., zzgl. 4.95 € Versandkosten.",lieferbar innerhalb von 2-5 Werktagen,2023-05-02 22:50:22.085332,"Original italienscher Espresso-Kaffee in Bohnen, vakuumverpackt",,"Verantwortliches Lebensmittelunternehmen:
CELLINI Deutschland GmbH, Friedrich-Legahn-Strasse 22, D-22587 Hamburg",,,,,,,,,,https://www.edeka24.de/index.php?cl=details&anid=madbdJemfLTKr1cGWBzBEd-1&emcs0=3&emcs1=Kategorieseite%20-%20Topseller&emcs2=&emcs3=745620004,https://www.edeka24.de/out/pictures/generated/product/1/540_540_90/celliniprestigio.jpg
2,Lebensmittel,Kaffee & Tee,Kaffee ganze Bohnen,Dallmayr Prodomo entkoffeiniert ganze Bohnen 500G,"8,49 €","16,98 €/kg","inkl. MwSt., zzgl. 4.95 € Versandkosten.",lieferbar innerhalb von 2-5 Werktagen,2023-05-02 22:50:24.906321,Kaffee geröstet entcoffeiniert,,"Verantwortliches Lebensmittelunternehmen:
Alois Dallmayr Kaffee OHG, Dienerstr. 14-15, D-80331 München",,180,749,13,"5,9",24,"1,5",9,"0,03",https://www.edeka24.de/index.php?cl=details&anid=c284d997e2a8c1621.03477514&emcs0=3&emcs1=Kategorieseite%20-%20Topseller&emcs2=&emcs3=713163009,https://www.edeka24.de/out/pictures/generated/product/1/540_540_90/dallmayrprodentcoff.jpg
3,Lebensmittel,Kaffee & Tee,Kaffee ganze Bohnen,Melitta BellaCrema Kaffee LaCrema ganze Bohnen 1kg,"11,99 €","11,99 €/kg","inkl. MwSt., zzgl. 4.95 € Versandkosten.",lieferbar innerhalb von 2-5 Werktagen,2023-05-02 22:50:28.486259,Röstkaffee in ganzen Bohnen,,"Verantwortliches Lebensmittelunternehmen:
Melitta Europa GmbH & Co.KG Geschäftsbereich Kaffee, Dortmunder Str. 1, 28199 Bremen",,,,,,,,,,https://www.edeka24.de/index.php?cl=details&anid=pfa4a0d0e0391c5d4.58491841&emcs0=3&emcs1=Kategorieseite%20-%20Topseller&emcs2=&emcs3=683830002,https://www.edeka24.de/out/pictures/generated/product/1/540_540_90/melitta_bellacrema_kaffee_lacrema_ganze_bohnen_1kg(1).jpg
4,Lebensmittel,Kaffee & Tee,Kaffee ganze Bohnen,Schweitzers Schüümli Crema entkoffeiniert Bohnen 500G,"7,69 €","15,38 €/kg","inkl. MwSt., zzgl. 4.95 € Versandkosten.",lieferbar innerhalb von 2-5 Werktagen,2023-05-02 22:50:31.649836,Röstkaffe in Bohnen,"Hinweis zur Aufbewahrung: Kühl, trocken und vor licht geschützt lagern. Packung nach dem Öffnen wieder gut verschliessen. Zum raschen Verbrauch bestimmt.","Verantwortliches Lebensmittelunternehmen:
Swiss Industrie GmbH, D-79576 Weil am Rhein",Zutatenverzeichnis: Röstkaffee,,,,,,,,,https://www.edeka24.de/index.php?cl=details&anid=fq2DaHBqCupAoGfGWBzBEd-1&emcs0=3&emcs1=Kategorieseite%20-%20Topseller&emcs2=&emcs3=664822000,https://www.edeka24.de/out/pictures/generated/product/1/540_540_90/schweitzschmlientkoffcremabohne.jpg
6,Lebensmittel,Kaffee & Tee,Kaffee ganze Bohnen,Schweitzers Schüümli Crema Bohnen 1KG,"16,99 €","16,99 €/kg","inkl. MwSt., zzgl. 4.95 € Versandkosten.",lieferbar innerhalb von 2-5 Werktagen,2023-05-02 22:50:36.232841,Röstkaffee ganze Bohnen,"Hinweis zur Aufbewahrung: Kühl, trocken und vor Licht geschützt lagern. Packung nach dem Öffnen wieder gut verschließen. Zum raschen Verbrauch bestimmt.","Verantwortliches Lebensmittelunternehmen:
Swiss Industries GmbH, Hafenstr. 45, D-79576 Weil am Rhein",Zutatenverzeichnis: Unter Schutzatmosphäre verpackt.,,,,,,,,,https://www.edeka24.de/Lebensmittel/Kaffee-Tee/Kaffee-ganze-Bohnen/Schweitzers-Schueuemli-Crema-Bohnen-1KG.html,https://www.edeka24.de/out/pictures/generated/product/1/540_540_90/schweitzschmlicremabohne.jpg
7,Lebensmittel,Kaffee & Tee,Kaffee ganze Bohnen,Lavazza Crema e Aroma Bohnen 1KG,"15,99 €","15,99 €/kg","inkl. MwSt., zzgl. 4.95 € Versandkosten.",lieferbar innerhalb von 2-5 Werktagen,2023-05-02 22:50:37.782760,Kaffeebohnen,,"Verantwortliches Lebensmittelunternehmen:
LUIGI LAVAZZA S.p.A., C. SO NOVARA, 59- 10154 TORINO - ITALIA",Zutatenverzeichnis: Kaffeebohnen,,,,,,,,,https://www.edeka24.de/Lebensmittel/Kaffee-Tee/Kaffee-ganze-Bohnen/Lavazza-Crema-e-Aroma-Bohnen-1KG.html,https://www.edeka24.de/out/pictures/generated/product/1/540_540_90/cremaearoma_1000g_front_ean_8000070025400.jpg
8,Lebensmittel,Kaffee & Tee,Kaffee ganze Bohnen,Dallmayr Prodomo entkoffeiniert ganze Bohnen 500G,"8,49 €","16,98 €/kg","inkl. MwSt., zzgl. 4.95 € Versandkosten.",lieferbar innerhalb von 2-5 Werktagen,2023-05-02 22:50:39.806896,Kaffee geröstet entcoffeiniert,,"Verantwortliches Lebensmittelunternehmen:
Alois Dallmayr Kaffee OHG, Dienerstr. 14-15, D-80331 München",,180,749,13,"5,9",24,"1,5",9,"0,03",https://www.edeka24.de/Lebensmittel/Kaffee-Tee/Kaffee-ganze-Bohnen/Dallmayr-Prodomo-entkoffeiniert-ganze-Bohnen-500G.html,https://www.edeka24.de/out/pictures/generated/product/1/540_540_90/dallmayrprodentcoff.jpg
9,Lebensmittel,Kaffee & Tee,Kaffee ganze Bohnen,Schweitzers Schüümli Crema entkoffeiniert Bohnen 500G,"7,69 €","15,38 €/kg","inkl. MwSt., zzgl. 4.95 € Versandkosten.",lieferbar innerhalb von 2-5 Werktagen,2023-05-02 22:50:41.934724,Röstkaffe in Bohnen,"Hinweis zur Aufbewahrung: Kühl, trocken und vor licht geschützt lagern. Packung nach dem Öffnen wieder gut verschliessen. Zum raschen Verbrauch bestimmt.","Verantwortliches Lebensmittelunternehmen:
Swiss Industrie GmbH, D-79576 Weil am Rhein",Zutatenverzeichnis: Röstkaffee,,,,,,,,,https://www.edeka24.de/Lebensmittel/Kaffee-Tee/Kaffee-ganze-Bohnen/Schweitzers-Schueuemli-Crema-entkoffeiniert-Bohnen-500G.html,https://www.edeka24.de/out/pictures/generated/product/1/540_540_90/schweitzschmlientkoffcremabohne.jpg
10,Lebensmittel,Kaffee & Tee,Kaffee ganze Bohnen,Melitta BellaCrema Kaffee LaCrema ganze Bohnen 1kg,"11,99 €","11,99 €/kg","inkl. MwSt., zzgl. 4.95 € Versandkosten.",lieferbar innerhalb von 2-5 Werktagen,2023-05-02 22:50:43.768269,Röstkaffee in ganzen Bohnen,,"Verantwortliches Lebensmittelunternehmen:
Melitta Europa GmbH & Co.KG Geschäftsbereich Kaffee, Dortmunder Str. 1, 28199 Bremen",,,,,,,,,,https://www.edeka24.de/Lebensmittel/Kaffee-Tee/Kaffee-ganze-Bohnen/Melitta-BellaCrema-Kaffee-LaCrema-ganze-Bohnen-1kg.html,https://www.edeka24.de/out/pictures/generated/product/1/540_540_90/melitta_bellacrema_kaffee_lacrema_ganze_bohnen_1kg(1).jpg
